Date,Longitude,Latitude,SST_Value,SST_Gradient,CHL_Concentration,CHL_Gradient,SSHA_Value,Days_To_Env_Data,Individual_ID,is_in_eddy,eddy_type,SST_Data_Source,CHL_Data_Source,SSHA_Data_Source,Thermal_Front_Strength,Productivity_Index,SSHA_Gradient,dist_to_eddy_center_km,Daily_Movement_km,has_shark
2014-07-10,-90.905,28.054,31.03999900817871,0.0,0.1463855952024459,0.0,0.0630805239081382,0,45101,False,none,observed,observed,knn_spatial,0.0,-0.0576331569293803,0.0650126895308494,43.942367284918326,0.0,1
2014-07-11,-91.15092187,26.70778019,30.81999905904134,0.2199999491373709,0.1290057264268398,0.0173798687756061,0.1280932134389877,0,45101,False,none,interpolated,interpolated,knn_spatial,0.1228947339239573,-0.219231144794794,0.0301856376230716,29.46622708113518,151.64924045491497,1
2014-07-12,-91.19431405,26.69305808,30.599999109903973,0.2199999491373674,0.1116258576512336,0.0173798687756061,0.1234517991542816,0,45101,False,none,interpolated,interpolated,observed,0.1226505888586892,-0.404248483693937,0.0112206336855888,27.10277500219419,4.610877546058425,1
2014-07-13,-91.43455141,26.71866168,30.3799991607666,0.2199999491373709,0.0942459888756275,0.0173798687756061,0.1505344808101654,0,45101,False,none,observed,interpolated,interpolated,0.1197333015630784,-0.6206426313556762,0.0270826816558837,17.042977416725822,24.03278223779716,1
2014-07-14,-91.66721037,26.87850168,30.57499885559082,0.1949996948242187,0.0768661201000213,0.0173798687756061,0.1776171624660492,0,45101,False,none,observed,interpolated,interpolated,0.1021028672054999,-0.881273658918304,0.0270826816558837,13.700415124187076,29.13983454113968,1
2014-07-15,-91.77600123,26.9982775,30.03999900817871,0.5349998474121094,0.0594862513244152,0.0173798687756061,0.2046998441219329,0,45101,False,none,observed,observed,interpolated,0.2736858784002683,-1.208999995154724,0.0270826816558837,12.855666560354312,17.137229169276452,1
2014-07-16,-91.78230749,26.97703761,29.97166570027669,0.0683333079020194,0.0661907067353075,0.0067044554108923,0.2317825257778167,0,45101,False,none,interpolated,interpolated,interpolated,0.0350230840500821,-1.0724540808416898,0.0270826816558837,12.959733249205549,2.4430315040782955,1
2014-07-17,-91.98808318,26.91863085,29.903332392374676,0.0683333079020158,0.0728951621461998,0.0067044554108923,0.2588652074337005,0,45101,False,none,interpolated,interpolated,observed,0.0346102328589764,-0.9490935427833144,0.0471933811902999,13.497561039893652,21.40576134222786,1
2014-07-18,-91.4822468,27.1560278,29.834999084472656,0.0683333079020194,0.0795996175570921,0.0067044554108923,0.3261692881584167,0,45101,False,none,interpolated,interpolated,interpolated,0.0351404859046038,-0.836594668025165,0.0673040807247161,2.464326379089772,56.6281656982759,1
2014-07-19,-91.12396945,27.21801619,29.766665776570637,0.0683333079020194,0.0863040729679844,0.0067044554108923,0.3934733688831329,0,45101,False,none,interpolated,interpolated,interpolated,0.0357825153599743,-0.7331985820536615,0.0673040807247162,1.9653226673791888,36.101358549999205,1
