Date,Longitude,Latitude,Individual_ID,SST_Value,SST_Gradient,Thermal_Front_Strength,CHL_Value,CHL_Gradient,Productivity_Index,SSHA_Value,SSHA_Gradient,is_in_eddy,eddy_type,dist_to_eddy_center_km,Daily_Movement_km,Ocean_Complexity_Score,SST_Value_normalized,SST_Gradient_normalized,Thermal_Front_Strength_normalized,CHL_Value_normalized,CHL_Gradient_normalized,Productivity_Index_normalized,SSHA_Value_normalized,SSHA_Gradient_normalized,Daily_Movement_km_normalized,Ocean_Complexity_Score_normalized
2014-07-10,-90.905,28.054,128778,23.19617842,0,0,0.4323609489,0,0.4323609489,0.0739198029,0,FALSE,none,-1,0,0,0.6383762057,0.3990346646,0,0.08468333794,0.4554446389,0.03665813195,0.2531711477,0.4145544546,0,0
2014-07-11,-90.93759082,27.53110359,128778,22.59635265,-0.5998257612,5.998257612,0.6730620548,0.2407011059,0.6730620548,0.1403993964,0.06647959352,FALSE,none,-1,58.23174192,0.9070064606,0.5466229999,0.255901299,0.2381724154,0.1727310358,0.5284386842,0.07477264427,0.3406487369,0.4727474222,0.2148951167,0.3531190986
2014-07-12,-90.91488295,27.43337337,128778,23.26830971,0.6719570604,6.719570604,0.3217044558,-0.351357599,0.3217044558,0.1526886672,0.01228927076,FALSE,none,-1,11.09557777,1.03560393,0.6494098731,0.5593803545,0.2668135423,0.04420554522,0.3488933523,0.01913590972,0.3568196508,0.425311878,0.04094649073,0.4031851395
2014-07-13,-90.85257259,27.4040434,128778,22.42078652,-0.8475231991,8.475231991,0.3872545679,0.06555011207,0.3872545679,0.1526886672,0,FALSE,none,-1,6.961480762,0.9130733112,0.5197672743,0.1967945213,0.3365254721,0.06818356743,0.4753231011,0.02951563168,0.3568196508,0.4145544546,0.02569025366,0.3554810672
2014-07-14,-90.83439362,27.3782348,128778,22.81545954,0.3946730242,3.946730242,0.3391986775,-0.04805589044,0.3391986775,0.1526886672,0,FALSE,none,-1,3.384805858,0.4427289146,0.5801389982,0.4932134776,0.1567125548,0.05060487577,0.4408714036,0.02190608281,0.3568196508,0.4145544546,0.01249109551,0.172364853
2014-07-15,-90.8179461,27.37501608,128778,24.12268987,1.307230334,13.07230334,0.3397526438,0.0005539663214,0.3397526438,0.1196156368,-0.03307303041,FALSE,none,-1,1.663021412,1.34085733,0.7801013565,0.7109723793,0.5190610778,0.05080751489,0.4556126325,0.0219938022,0.3133002967,0.3856039499,0.006137119869,0.5220275185
2014-07-16,-90.85568139,27.37548026,128778,22.7611883,-1.361501574,13.61501574,0.3615380515,0.02178540773,0.3615380515,0.1349360645,0.01532042772,FALSE,none,-1,3.726440506,1.39860741,0.5718373202,0.0741464802,0.5406105231,0.05877654764,0.4620511936,0.02544347556,0.3334597774,0.4279652038,0.01375184463,0.5445109922
2014-07-17,-90.93694005,27.37834731,128778,22.97156867,0.2103803745,2.103803745,0.3302063839,-0.0313316676,0.3302063839,0.1349360645,0,FALSE,none,-1,8.029906596,0.2417120421,0.6040184552,0.4492366615,0.08353559517,0.04731552343,0.4459431239,0.02048217209,0.3334597774,0.4145544546,0.02963311174,0.09410422323
2014-07-18,-91.35484053,27.36515839,128778,22.70134632,-0.2702223579,2.702223579,0.3459217554,0.01571537154,0.3459217554,0.1792004108,0.04426434636,FALSE,none,-1,41.29194182,0.3302020758,0.5626835056,0.33455288,0.1072970116,0.05306415628,0.460210419,0.02297066802,0.3917052947,0.4533012871,0.1523814394,0.1285554893
2014-07-19,-91.78655149,27.40706444,128778,23.290563,0.5892166843,5.892166843,0.350972086,0.00505033057,0.350972086,0.1939961314,0.01479572058,FALSE,none,-1,42.87803032,0.6090627354,0.6528138788,0.5396364401,0.2339598763,0.05491155112,0.4569761817,0.02377037721,0.4111743362,0.427505901,0.1582346505,0.2371225493
